name,category,phone,reservation,address,transportation,hours,price_range,review_based_price_range,service_charges,seating_capacity,max_guests,private_rooms,charter,smoking_policy,parking,facilities,course_menu,drinks,scenes,services,homepage,opened_date,additional_notes,diner_idx,city_name,region_name,tabelog_url,total_review_count,facebook_url,instagram_url,twitter_url,payment_card,payment_emoney,payment_qr,card_types,price_min,price_max,review_price_min,review_price_max,has_private_room,has_smoking,has_reservation,has_parking,bayesian_score,rank
たみえ,日本料理、おでん,098-886-8015,予約不可,沖縄県那覇市安里388-13,安里駅から184m,"月・火・木・金・土・日

18:00 - 00:00

水

定休日",{},"{'Dinner': '￥1,000～￥1,999'}",,,,無,可,,無,カウンター席あり、座敷あり,,,一人で入りやすい ｜ 知人・友人と,2時間半以上の宴会可,,,,47003728,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47003728/,14,,,,0,1,0,[],,,1000,1999,0,2,1,0,0.39197773761985816,1998.0
鳥と卵の専門店 鳥玉 泉崎店,食堂、鳥料理,098-963-9571,予約不可,沖縄県那覇市泉崎1-17-1 ケイエムビル泉崎 1F,旭橋駅から223m,11:00 - 22:00,{},"{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,31,,無,不可,全席禁煙,無,,,,家族・子供と,テイクアウト,,2016年9月12日,,47018898,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47018898/,165,,,,1,1,1,[],,,1000,1999,0,2,1,0,0.391908086879913,1999.0
BAR ichi color,バー、サンドイッチ,098-861-7274,予約可,沖縄県那覇市牧志1-4-7,"美栄橋駅から徒歩約10分
国際通りJALCITYホテルから徒歩3分","月・木・金・土・日・祝日

19:00 - 02:00

火・水

定休日","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥3,000～￥3,999'}",,12,,無,可,"分煙

テラス席にて喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、カウンター席あり、座敷あり、オープンテラスあり、プロジェクターあり、電源あり、無料Wi-Fiあり,,ワインあり、カクテルあり,一人で入りやすい ｜ 知人・友人と,テイクアウト、複数言語メニューあり（英語）,http://www.1color.net/,,,47004800,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47004800/,14,,,,1,1,0,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,3000,3999,0,1,1,0,0.39185871474450606,2000.0
マックスバリュ 安謝店,コンビニ・スーパー,098-863-3662,,沖縄県那覇市安謝664-32,"古島駅から1,569m",24時間営業,{},{},,,,無,不可,,,,,,,,,,,47018119,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47018119/,8,,,,0,1,0,[],,,,,0,2,2,2,0.39184900848869053,2001.0
ジパング 久茂地店,居酒屋,不明の為情報お待ちしております,,沖縄県那覇市久茂地3-9-11 アーバンビル 1F,県庁前駅から205m,"月・火・水・木・金・土

17:30 - 01:00

L.O. 料理00:00 ドリンク00:30

日

定休日",{},{},,44,,有,,,無,カウンター席あり、座敷あり、掘りごたつあり,,日本酒あり、焼酎あり、ワインあり,,,,,,47017138,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47017138/,3,,,,1,0,0,"['AMEX', 'Diners', 'JCB']",,,,,1,2,2,0,0.3917401482977305,2002.0
しゃぶしゃぶ温野菜 那覇小禄店,しゃぶしゃぶ、すき焼き、豚しゃぶ,050-5596-0838,予約可,沖縄県那覇市鏡原町10-11,奥武山公園近く。モノレール奥武山から壺川駅に向かう途中　徒歩2分。駐車場完備,"月・火・水・木
                        
                      
                          
                            17:00 - 23:00
                              L.O. 22:30
                          
                      
                    
                    
                        
                          金・土・日・祝日・祝前日
                        
                      
                          
                            17:00 - 00:00
                              L.O. 23:30","{'Dinner': '￥3,000～￥3,999'}",{},,120,,無,不可,全席禁煙,無,オシャレな空間、落ち着いた空間、席が広い,飲み放題、食べ放題,日本酒あり、焼酎あり、ワインあり、カクテルあり,,,,,,47012284,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47012284/,9,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,,,0,2,1,0,0.3915613701855984,2003.0
石畳茶屋 真珠,カフェ,098-884-6591,予約不可,沖縄県那覇市首里金城町1-23,"・ゆいレール「首里駅」「儀保駅」から徒歩１５〜２０分
・石畳入口バス停より徒歩１〜２分（７、８番：首里城下町線）","月・水・木・金・土・日・祝日・祝前日・祝後日

11:00 - 16:00

L.O. 15:30

火

定休日","{'Lunch': '￥1,000～￥1,999'}","{'Lunch': '￥1,000～￥1,999'}",,22,,無,不可,"全席禁煙

※喫煙スペースはございませんので、（電子タバコ等を含め）当店敷地内での喫煙はご遠慮ください。",無,オシャレな空間、落ち着いた空間、オープンテラスあり,,,知人・友人と,,https://madamadamadama.blogspot.com/,,"〜お客さまへのお願い〜
・団体様のご来店は原則お受けしておりません。
・お一人様一品以上のご注文をお願いしております。
・ペットのご同伴はご遠慮下さい。（盲導犬を除く）。
・敷地内は全て禁煙となっています。
・駐車場はございません。周辺の有料駐車場をご利用下さい。
　※近隣の住宅敷地へお車を乗り入れる方が増えておりますので、ご注意下さい。
・フードロス防止へご協力ください（お持ち帰りはできません）。",47005457,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470102/47005457/,74,https://www.facebook.com/shurimadama,https://www.instagram.com/shuri_madama,,1,1,1,"['Master', 'VISA']",1000,1999,1000,1999,0,2,1,0,0.3915446530128086,2004.0
牛角 北谷店,焼肉、ホルモン、居酒屋,098-936-0029,予約可,沖縄県中頭郡北谷町伊平238,,"17:00 - 00:00

L.O. 23:15","{'Dinner': '￥3,000～￥3,999'}",{},,68,,無,不可,全席禁煙,有,オシャレな空間、落ち着いた空間,飲み放題、食べ放題,日本酒あり、焼酎あり、ワインあり、カクテルあり、焼酎にこだわる、ワインにこだわる、カクテルにこだわる,,,http://www.gyukaku.ne.jp/,2015年8月15日,,47016418,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47016418/,4,,,,1,1,0,"['JCB', 'Master', 'VISA']",3000,3999,,,0,2,1,1,0.3915365539508186,2005.0
串カツ居酒屋クニヒロ,串揚げ、居酒屋,098-863-8600,,沖縄県那覇市久茂地2-11-1 1F,県庁前駅から311m,"月・火・水・木・金・土

18:00 - 00:00

日

定休日",{},{},チャージ300円,,,,,,無,,,,,,,,,47022016,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47022016/,8,,https://www.instagram.com/kushikatsukunihiro/,,1,0,0,"['AMEX', 'Diners', 'JCB']",,,,,2,2,2,0,0.39144235555724305,2006.0
大扇,焼肉、ホルモン,098-857-8150,予約可,沖縄県那覇市宇栄原1-28-1,車。赤嶺駅から徒歩１０分程度。,"月・火・水・金・土・日

18:00 - 23:00

木

定休日",{},"{'Dinner': '￥3,000～￥3,999'}",,25,,無,不可,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,座敷あり,,,知人・友人と,,,,,47002965,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47002965/,34,,,,1,1,1,[],,,3000,3999,0,1,1,1,0.39138084377979826,2007.0
御菓子御殿 国際通り松尾店,カフェ、ケーキ、沖縄料理,098-862-0334,予約不可,沖縄県那覇市松尾1-2-5,ゆいレール県庁前駅徒歩3分,09:00 - 22:00,{},"{'Dinner': '～￥999', 'Lunch': '～￥999'}",,,,無,不可,全席禁煙,無,落ち着いた空間、席が広い、座敷あり、掘りごたつあり,,,知人・友人と,テイクアウト,http://www.okashigoten.co.jp/,,,47004274,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47004274/,189,,,,1,1,1,"['AMEX', 'JCB']",,,,,0,2,1,0,0.3913713266551096,2008.0
沖縄そば すばじらぁ 那覇店,ラーメン,非公開,予約不可,沖縄県那覇市長田2-1-1,"沖縄バス[40]、[35/235]、[109]、那覇バス[6]系統　
「沖大アネックス前」下車1分","月・火・水・金

11:30 - 14:00
18:00 - 21:00

土

11:45 - 16:00

日・祝日

11:45 - 17:30

木

定休日","{'Dinner': '～￥999', 'Lunch': '～￥999'}","{'Dinner': '～￥999', 'Lunch': '～￥999'}",,12,,無,不可,全席禁煙,無,カウンター席あり,,,一人で入りやすい ｜ 知人・友人と,,,2013年6月,看板に「沖縄そば」とありますが、メニューに沖縄そばはなく二郎系の麺類のみ。,47012670,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47012670/,78,,,https://twitter.com/subajiraa,1,1,1,[],,,,,0,2,1,0,0.3913481374763124,2009.0
がブリチキン。 那覇久茂地店,居酒屋、バル、からあげ,098-975-7505,予約可,沖縄県那覇市久茂地3-11-17 新星産業ビル 1F,"ゆいレール県庁前駅から、歩いて5分
ローソン久茂地となり","月・火・水・木・日

18:00 - 02:00

L.O. 01:30

金・土・祝前日

18:00 - 03:00

L.O. 02:30",{},"{'Dinner': '￥2,000～￥2,999'}",,60,,無,不可,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、オープンテラスあり,飲み放題,,,2時間半以上の宴会可、テイクアウト,,,,47018992,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47018992/,16,,,,1,0,0,"['Master', 'VISA']",,,2000,2999,0,1,1,0,0.3913342895963101,2010.0
居酒屋 いただきます,居酒屋,098-858-0738,予約可,沖縄県那覇市金城5-7-15,小禄駅から315m,"月・火・水・木・金・土

18:00 - 05:00

日・祝日

18:00 - 01:00",{},"{'Dinner': '￥3,000～￥3,999'}",,,,無,,,有,,,,知人・友人と,,,,,47002049,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47002049/,11,,,,1,1,1,[],,,3000,3999,0,2,1,1,0.39124647612037994,2011.0
リセット コーヒー オキナワ,カフェ,090-4172-4977,,沖縄県那覇市おもろまち3-3-1 コープあっぷるタウン 1F,おもろまち駅から913m,09:00 - 21:00,{},{},,,,,,,,,,,,テイクアウト,http://clohummi.ti-da.net/,2016年10月1日,,47019171,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47019171/,8,,,,0,0,0,[],,,,,2,2,2,2,0.3912336903268868,2012.0
デパートリウボウ JAL側売店,その他,098-857-6875,,沖縄県那覇市鏡水150 那覇空港 国内線旅客ターミナルビル 2F 出発ロビー,那覇空港直結,06:30 - 20:30,{},"{'Lunch': '￥1,000～￥1,999'}",,,,,,,,,,,知人・友人と,,https://ryubo-shoji.com/,,,47015883,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47015883/,19,,,,0,0,0,[],,,1000,1999,2,2,2,2,0.3910884711042632,2013.0
ファミリーマート 那覇空港ターミナル店,コンビニ・スーパー,098-858-2262,予約不可,沖縄県那覇市字鏡水150 那覇空港ターミナル 国内線エリア 2F,"那覇空港
旅客ターミナルビル 国内線エリア２階 出発ロビー（手荷物検査場通過前）に立地


＝那覇空港旅客ターミナルビルへのアクセス＝
【鉄道利用】
沖縄都市モノレール（ゆいレール）「那覇空港駅」下車すぐ
＜ゆいレール主な駅から＞
・「旭橋駅」 12分
・「県庁前駅」 13分
・「牧志駅」 17分
・「おもろまち駅」 21分
・「首里駅」 29分
・「浦添前田駅」 35分
・「てだこ浦西駅」 37分",06:00 - 21:00,{},{'Lunch': '～￥999'},,,,無,不可,全席禁煙,有,バリアフリー,,,家族・子供と ｜ 知人・友人と,テイクアウト,https://www.okinawa-familymart.jp/,,"◆「那覇空港旅客ターミナルビル」
＜ホームページ＞
https://www.naha-airport.co.jp/
HOME > 空港ですごす > ショップ・レストラン検索
https://www.naha-airport.co.jp/spend/shop_and_restaurant/
HOME > 空港ですごす > フロアマップ
フロアマップ　2F 出発ロビー・搭乗待合室
https://www.naha-airport.co.jp/spend/map/

◆「沖縄ファミリーマート」
＜ホームページ＞
https://www.okinawa-familymart.jp/

◆「ファミリーマート」
＜ホームページ＞
https://www.family.co.jp/
店舗検索
https://www.family.co.jp/store.html",47014188,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47014188/,69,https://www.facebook.com/okinawa.yui.project/,https://www.instagram.com/oki_famima/,https://twitter.com/oki_famima,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",,,,,0,2,1,1,0.3910759083922114,2014.0
パティスリー・ランヴォール,ケーキ、パン、チョコレート,098-996-4162,,沖縄県那覇市真地205 フェリーチェみのり 101,那覇インターから車で３分,"月・火・水・木・金・土
                        
                      
                          
                            10:00 - 19:00
                          
                      
                    
                    
                        
                          日
                        
                      
                          
                            10:00 - 18:00","{'Dinner': '～￥999', 'Lunch': '～￥999'}",{'Lunch': '～￥999'},,,,無,,,有,,,,,,http://lenvol.okinawa/ ,2014年12月2日,,47015495,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470102/47015495/,28,,https://www.instagram.com/okinawa_lenvol?igsh=MTA3aGUxYzEwNWFoMA==,,1,1,1,"['JCB', 'Master', 'VISA']",,,,,0,2,2,1,0.391063524085868,2015.0
らあめん 波蔵,ラーメン、つけ麺,098-862-1806,予約可,沖縄県那覇市辻2-28-9,辻の繁華街から徒歩数分。,"火・水・木・金・土・日

11:00 - 14:00
17:00 - 22:00

月

定休日",{},"{'Dinner': '～￥999', 'Lunch': '￥1,000～￥1,999'}",,22,,無,不可,全席禁煙,有,座敷あり,,,家族・子供と ｜ 知人・友人と,,http://musashiya.sakuraweb.com/namizou.html,2005年4月,,47002682,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47002682/,109,,,,1,1,1,['AMEX'],,,1000,1999,0,2,1,1,0.39085304061082,2016.0
竜丹,中華料理、ラーメン、餃子,098-834-4871,予約可,沖縄県那覇市古波蔵3-19-12,古波蔵りうぼうの裏,"月・火・水・金・土・日

11:30 - 15:00

L.O. 14:30

17:00 - 21:00

L.O. 20:30

木

定休日",{},"{'Dinner': '～￥999', 'Lunch': '～￥999'}",なし,30,,無,不可,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,カウンター席あり、座敷あり,,,一人で入りやすい ｜ 知人・友人と,テイクアウト,,1978年,オードブルの注文も可能でした。,47002123,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47002123/,139,,,,1,1,1,[],,,,,0,1,1,1,0.39081875998561055,2017.0
マーサンミッシェルカフェ,カフェ,098-868-4040,,沖縄県那覇市天久1-2-1 天久りうぼう楽市 1F,"おもろまち駅から1,179m",10:00 - 21:00,{},{},,,,無,不可,全席禁煙,有,,,,,テイクアウト,http://ma-sanmichel.com/,2017年5月3日,,47020203,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47020203/,5,,,,1,0,0,[],,,,,0,2,2,1,0.3908185219315777,2018.0
カフェ沖縄式,カフェ、カレー,098-860-6700,予約可,沖縄県那覇市久米2-31-11,"ゆいレール「県庁前駅」から徒歩10分
若狭大通り沿い、空港より車で10分。","火・水・木・金・土・日

12:00 - 19:00

月

定休日","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,30,,無,不可,全席禁煙,有,オシャレな空間、落ち着いた空間、席が広い、無料Wi-Fiあり,,,家族・子供と ｜ 知人・友人と,テイクアウト,http://www.buku.jp/,,,47000660,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47000660/,111,,https://www.instagram.com/https://www.instagram.com/cafe_okinawashiki/,,1,1,1,[],1000,1999,1000,1999,0,2,1,1,0.3907373717338023,2019.0
やきとり 白鳥,焼き鳥、日本料理、居酒屋,098-988-4792,予約可,沖縄県那覇市泉崎1-17-1,"ゆいレール線「旭橋駅」より徒歩5分
ゆいレール線「県庁前駅」より徒歩6分
バスセンター0分","月・火・水・木・日

17:00 - 23:00

金・土

17:00 - 00:00","{'Dinner': '￥3,000～￥3,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥5,000～￥5,999', 'Lunch': '～￥999'}",お通し300円,26,,"有

（6人可、8人可、10～20人可）

テラス席個室　ペット可","可

（20人以下可、20人～50人可）","分煙

外に灰皿エリア在り。テラス席喫煙可能

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、席が広い、カウンター席あり、ソファー席あり、オープンテラスあり、スポーツ観戦可、電源あり、無料Wi-Fiあり、車椅子で入店可,,日本酒あり、焼酎あり、ワインあり,家族・子供と ｜ 知人・友人と,2時間半以上の宴会可、お祝い・サプライズ可、ドリンク持込可、ペット可、テイクアウト,https://ja-jp.facebook.com/yakitori.swan/,2006年7月7日,,47004934,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47004934/,58,https://www.facebook.com/yakitori.swan,https://www.instagram.com/okinawayakitori.swan,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,5000,5999,1,1,1,0,0.3907302943930016,2020.0
LAWSON 北谷町北前店,コンビニ・スーパー,098-926-0086,,沖縄県中頭郡北谷町北前240,,24時間営業,{'Lunch': '～￥999'},{},,,,,,,,,,,,,,,,47024365,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47024365/,3,,,,0,0,0,[],,,,,2,2,2,2,0.3907254206266462,2021.0
マファリカフェ,ダイニングバー、イタリアン、バル,050-5590-7181,予約可,沖縄県那覇市安里1-1-3 2F,モノレール牧志駅 徒歩1分,"月・火・木・日

18:00 - 00:00

L.O. 23:00

金・土・祝前日

18:00 - 01:00

L.O. 00:00

水

定休日","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥1,000～￥1,999'}",お通し：324円(税込),42,,"無

半個室あります","可

（20人～50人可、50人以上可）","全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、席が広い、カップルシートあり、カウンター席あり、ソファー席あり、ライブ・生演奏あり、プロジェクターあり、電源あり、無料Wi-Fiあり,飲み放題,焼酎あり、ワインあり、カクテルあり、焼酎にこだわる、ワインにこだわる、カクテルにこだわる,大人数の宴会 ｜ 知人・友人と,2時間半以上の宴会可、お祝い・サプライズ可、複数言語メニューあり（英語）,,2007年1月27日,,47001559,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47001559/,23,https://www.facebook.com/MAFALicafe/,https://www.instagram.com/mafalicafe/?hl=ja,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,1000,1999,0,1,1,0,0.3906781205336583,2022.0
輪っしょい 松尾店,居酒屋、牛料理,098-867-2009,予約可,沖縄県那覇市松尾2-8-16 レガロパロマビル　B１F,沖縄モノレール美栄橋駅より、国際通り向けに徒歩5分。,,{},"{'Dinner': '￥2,000～￥2,999'}",,60,,無,可,"分煙

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,,飲み放題,,知人・友人と,,http://www.wassyoi-matsuo.com/,,,47007325,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47007325/,24,,,,1,1,1,"['AMEX', 'Diners', 'JCB']",,,2000,2999,0,2,1,1,0.3905371491999677,2023.0
居酒屋 七段 奥武山店,居酒屋,050-3818-1452,,沖縄県那覇市鏡原町10-20,奥武山公園駅から305m,"月・火・水・木・日・祝日

17:00 - 00:00

L.O. 料理23:00 ドリンク23:30

金・土・祝前日

17:00 - 01:00

L.O. 料理00:00 ドリンク00:30","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥2,000～￥2,999', 'Lunch': '～￥999'}",,,,有,,,,,,,,,,,,47023203,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47023203/,35,,,,1,1,1,"['AMEX', 'Diners', 'JCB']",3000,3999,2000,2999,1,2,2,2,0.3905152574246466,2024.0
ANAフェスタ 那覇ロビー2号店,その他,098-859-5432,,沖縄県那覇市鏡水150 那覇空港国内線旅客ターミナルビル 2F 出発ロビー,"那覇空港
ターミナルビル２階国内線エリア 出発ロビー（手荷物検査場通過前）に立地


【鉄道利用】
沖縄都市モノレール（ゆいレール）「那覇空港駅」下車すぐ
＜ゆいレール主な駅から＞
・「旭橋駅」 12分
・「県庁前駅」 13分
・「牧志駅」 17分
・「おもろまち駅」 21分
・「首里駅」 29分
・「浦添前田駅」 35分
・「てだこ浦西駅」 37分",06:30 - 20:30,{},{'Lunch': '～￥999'},,,,無,不可,全席禁煙,有,バリアフリー、無料Wi-Fiあり,,,家族・子供と,テイクアウト,https://www.anafesta.com/airports/oka/,,"◆「那覇空港旅客ターミナルビル」
＜ホームページ＞
https://www.naha-airport.co.jp/
HOME > 空港ですごす > フロアマップ（2F 出発ロビー・搭乗待合室）
https://www.naha-airport.co.jp/spend/map/
HOME > 空港ですごす > ショップ・レストラン検索
https://www.naha-airport.co.jp/spend/shop_and_restaurant/


◆「ANA FESTA」
＜ホームページ＞
https://www.anafesta.com/　
TOP > 空港からお店を探す > 那覇空港
https://www.anafesta.com/airports/oka/


○「那覇空港」内にANA FESTAの店舗が３店舗あり。【１】～【３】○

＝手荷物検査場 通過前（国内線エリア）＝
【１】『ANAフェスタ 那覇ロビー1号店』　
場所：ターミナルビル２階国内線エリア 出発ロビー 手荷物検査場Ｂ向かい
＜食べログ＞
https://tabelog.com/okinawa/A4701/A470103/47017332/

★当店舗
【２】『ANAフェスタ 那覇ロビー2号店』
場所：ターミナルビル２階国内線エリア 出発ロビー


＝手荷物検査場 通過後（国内線制限エリア）＝
【３】『ANAフェスタ 那覇ゲート店（軽飲食提供あり）』
場所：ターミナルビル２階国内線エリア 北ウイング 32番搭乗ゲート前
＜食べログ＞
https://tabelog.com/okinawa/A4701/A470103/47000347/",47013890,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47013890/,15,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",,,,,0,2,2,1,0.39049206200325226,2025.0
ジパング,居酒屋、ダイニングバー,不明の為情報お待ちしております,,沖縄県那覇市おもろまち4-7-26 kudaおもろまちビル102号,新都心公園から徒歩5分くらい,"17:30 - 01:00

L.O. 00:00",{},"{'Dinner': '￥3,000～￥3,999'}",,30,,"有

（2人可、4人可、6人可）",,,無,オシャレな空間、落ち着いた空間、カウンター席あり,,日本酒あり、焼酎あり、ワインあり、カクテルあり,知人・友人と,2時間半以上の宴会可,,,,47002230,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47002230/,8,,,,1,0,0,"['AMEX', 'Diners', 'JCB']",,,3000,3999,1,2,2,0,0.39049157217319935,2026.0
坦々厨房,中華料理、四川料理、担々麺,090-8812-2775,,沖縄県名護市大西1-18-22,,"火・水・木・金・土・日

11:00 - 15:00

月

定休日",{},"{'Lunch': '￥1,000～￥1,999'}",,,,,,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,,,,知人・友人と,,,,,47012872,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470201/47012872/,24,,,,0,0,0,[],,,1000,1999,2,1,2,1,0.3904873996856975,2027.0
たけ田商店 安岡店,からあげ、弁当,098-894-4511,予約可,沖縄県那覇市銘苅3-10-22,古島駅から857m,10:30 - 21:00,{},{},,,,無,不可,,有,,,,,,https://www.takedashoten.okinawa/,,,47026250,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47026250/,13,,,,1,1,0,[],,,,,0,2,1,1,0.39044433627397374,2028.0
フリアンディーズ,ケーキ,098-863-3398,予約可,沖縄県那覇市前島2-16-8,ゆいレール　美栄橋駅　徒歩６分,"月・火・水・木・金・土

10:00 - 20:00

日

定休日",{'Lunch': '～￥999'},{'Lunch': '～￥999'},,8,,無,不可,全席禁煙,有,,,,家族・子供と ｜ 知人・友人と,テイクアウト,,,,47004860,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47004860/,21,https://www.facebook.com/friandise00/,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",,,,,0,2,1,1,0.39039353049010933,2029.0
あけぼのラーメン,ラーメン、中華料理,098-863-1807,予約不可,沖縄県那覇市曙3-20-28,"古島駅から2,405m","月・火・木・金・土・日

10:30 - 23:00

水

定休日",{},"{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,,,無,不可,全席禁煙,有,,,,知人・友人と,,,,,47002940,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47002940/,145,,,,1,1,1,[],,,1000,1999,0,2,1,1,0.39032755271226194,2030.0
PIZZAパルコ 小禄店,ピザ,098-852-0488,,沖縄県那覇市小禄2-2-12 ユーミーたから 1F,"小禄駅から1,009m","月・火・水・木・金

17:30 - 21:30

土・日・祝日

11:30 - 21:30",{},{},,,,,,,,,,,知人・友人と,,,,,47011264,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47011264/,5,,,,0,0,0,[],,,,,2,2,2,2,0.39032424338646105,2031.0
TAMAKI屋,居酒屋、そば,非設置,予約可,沖縄県那覇市字大道172,安里駅から215m,"月・火・水・木・金・土

17:00 - 23:00

日

定休日",{},"{'Dinner': '￥1,000～￥1,999'}",サービス料・チャージなし,19,,無,,"分煙（加熱式たばこ限定）

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,,,,,,,,,47018114,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47018114/,66,,,,1,1,1,[],,,1000,1999,0,2,1,0,0.3902658336288216,2032.0
スロウジャム,ダイニングバー、バー,098-869-6694,予約可,沖縄県那覇市久茂地1-6-1 B1F,県庁前駅から212m,,{},{},,,,無,,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,カウンター席あり、ソファー席あり,,ワインあり、カクテルあり,一人で入りやすい ｜ 知人・友人と,2時間半以上の宴会可,,,,47002732,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47002732/,5,,,,1,1,0,"['AMEX', 'Diners', 'JCB']",,,,,0,1,1,0,0.390254963008754,2033.0
